#枚举值部分
PieStyle_Three,三色圆环
PieStyle_Current,当前圆环
PointerStyle_Circle,圆形指示器
PointerStyle_Indicator,指针指示器
PointerStyle_IndicatorR,圆角指针指示器
PointerStyle_Triangle,三角形指示器
BannerStyle_Min,迷你型样式
BannerStyle_Num,数字型样式
NavPosition_Left,左边位置
NavPosition_Center,中间位置
NavPosition_Right,右侧位置
NavStyle_Ellipse,椭圆条状
NavStyle_Circle,圆形
NavStyle_Rect,矩形
NavStyle_Dot,小圆点
NavStyle_LongRect,长条状
LineStyle_Rect,矩形
LineStyle_RoundedRect,圆角矩形
LineStyle_Ellipse,椭圆
LineStyle_Circle,圆形
ButtonStyle_Circle,圆形
ButtonStyle_Police,警察
ButtonStyle_Bubble,气泡
ButtonStyle_Bubble2,气泡2
ButtonStyle_Msg,消息
ButtonStyle_Msg2,消息2
ButtonStatus_Arming,布防
ButtonStatus_Disarming,撤防
ButtonStatus_Alarm,报警
ButtonStatus_Bypass,旁路
ButtonStatus_Error,故障
LinePosition_Left,左边
LinePosition_Right,右边
LinePosition_Top,上边
LinePosition_Bottom,下边
ColorMode_Normal,松开按下两种颜色
ColorMode_Replace,按下松开颜色上下交替
ColorMode_Shade,按下松开颜色渐变交替
TextAlign_Top_Left,顶部左侧
TextAlign_Top_Center,顶部居中
TextAlign_Top_Right,顶部右侧
TextAlign_Center_Left,中间左侧
TextAlign_Center_Center,中间居中
TextAlign_Center_Right,中间右侧
TextAlign_Bottom_Left,底部左侧
TextAlign_Bottom_Center,底部居中
TextAlign_Bottom_Right,底部右侧
SecondStyle_Normal,普通效果
SecondStyle_Spring,弹簧效果
SecondStyle_Continue,连续效果
SecondStyle_Hide,隐藏效果
CloudStyle_Black,黑色风格
CloudStyle_White,白色风格
CloudStyle_Blue,蓝色风格
CloudStyle_Purple,紫色风格
CloudStyle_Custom,自定义风格
ScaleStyle_Value,跟随值变化
ScaleStyle_Time,设置时间变化
RangeStyle_Line,线条状风格
RangeStyle_Circle,圆形状风格
WeatherType_SUNNY,晴天
WeatherType_RAINY,雨天
WeatherType_SNOWY,雪天
WeatherType_CLOUDY,多云
WeatherType_WINDY,风
WeatherType_SNOWY_RAINY,雪雨
WeatherType_HAIL,冰雹
WeatherType_LIGHTNING,闪电
WeatherType_FOG,雾
WeatherType_PARTLYCLOUDY,局部多云
FadeEffect,渐变渐显
BlindsEffect,百叶窗
FlipRightToLeft,从右向左翻转
OutsideToInside,从外到内水平分割
MoveLeftToRightEffect,从左到右转动
MoveRightToLeftEffect,从右到左转动
MoveBottomToUpEffect,从下到上转动
MoveUpToBottomEffect,从上到下转动
MoveBottomToLeftUpEffect,从右下到左上飞入
CalendarStyle_Yellow,黄色风格
CalendarStyle_Blue,蓝色风格
CalendarStyle_Brown,褐色风格
CalendarStyle_Gray,灰色风格
CalendarStyle_Purple,紫色风格
CalendarStyle_Red,红色风格
ClockStyle_Trad,黑色风格
ClockStyle_System,银色风格
ClockStyle_Modern,红色风格
ClockStyle_Flower,花瓣风格
PilotStyle_Blue,蓝色风格
PilotStyle_Gray,灰色风格
PilotStyle_Green,绿色风格
PilotStyle_Red,红色风格
PilotStyle_Yellow,黄色风格
ButtonStyle_1,开关样式1
ButtonStyle_2,开关样式2
ButtonStyle_3,开关样式3
DayType_MonthPre,上月剩余天数
DayType_MonthNext,下个月的天数
DayType_MonthCurrent,当月天数
DayType_WeekEnd,周末
SelectType_Rect,矩形背景
SelectType_Circle,圆形背景
SelectType_Triangle,带三角标
SelectType_Image,图片背景
WeekNameFormat_Short,短名称
WeekNameFormat_Normal,普通名称
WeekNameFormat_Long,长名称
WeekNameFormat_En,英文名称
BarStyle_Rect,圆角矩形
BarStyle_Line_Top,上边线条
BarStyle_Line_Right,右边线条
BarStyle_Line_Bottom,下边线条
BarStyle_Line_Left,左边线条
TextAlign_Left,左侧对齐
TextAlign_Right,右侧对齐
TextAlign_Top,顶部对齐
TextAlign_Bottom,底部对齐
TextAlign_Center,居中对齐
TrianglePosition_Left,左侧
TrianglePosition_Right,右侧
TrianglePosition_Top,顶部
TrianglePosition_Bottom,底部
IconPosition_Left,左侧
IconPosition_Right,右侧
IconPosition_Top,顶部
IconPosition_Bottom,底部
LinePosition_Left,左侧
LinePosition_Right,右侧
LinePosition_Top,顶部
LinePosition_Bottom,底部
ArrowPosition_Left,向左箭头
ArrowPosition_Right,向右箭头
ArrowPosition_Top,向上箭头
ArrowPosition_Bottom,向下箭头
ExpendMode_SingleClick,单击展开
ExpendMode_DoubleClick,双击展开
ExpendMode_NoClick,禁用单击
NavStyle_JD,京东样式
NavStyle_TB,淘宝样式
NavStyle_ZFB,支付宝样式
Alignment_Left,左对齐
Alignment_Center,居中对齐
Alignment_Right,右对齐
PercentStyle_Arc,圆弧风格
PercentStyle_Polo,水池风格
PercentStyle_Wave,波纹风格
PercentStyle_Arc_Polo,圆弧水池风格
PercentStyle_Arc_Wave,圆弧波纹风格
BarStyle_Donut,圆环风格
BarStyle_Pie,饼状风格
BarStyle_Line,线条风格
BarStyle_Arc,圆弧状风格
BarStyle_RoundCircle,旋转圆风格
BarStyle_Pie,三角圆弧风格
BarStyle_Line,线条风格
BarStyle_Ring,圆环风格
BarStyle_SingleCircle,一个圆闪烁
BarStyle_DoubleCircle,两个圆闪烁
PercentStyle_Rect,矩形风格
PercentStyle_Circle,圆形风格
PercentStyle_Ellipse,椭圆风格
PercentStyle_Cylinder,圆柱风格
ScaleStyle_Single,单向标尺
ScaleStyle_Double,双向标尺
BarPosition_Left,左侧显示
BarPosition_Right,右侧显示
BarPosition_Center,居中显示
TickPosition_Null,不显示
TickPosition_Left,左侧显示
TickPosition_Right,右侧显示
TickPosition_Both,两侧显示
PointStyle_Rect,正方形
PointStyle_Circle,圆形
SliderStyle_Line,线条状风格
SliderStyle_Circle,圆形状风格
ArrowStyle_Left,向左箭头
ArrowStyle_Right,向右箭头
ArrowStyle_Top,向上箭头
ArrowStyle_Bottom,向下箭头
ButtonStyle_Rect,圆角矩形
ButtonStyle_CircleIn,内圆形
ButtonStyle_CircleOut,外圆形
MoveStyle_LeftAndRight,左右来回滚动
MoveStyle_LeftToRight,从左滚动到右
MoveStyle_RightToLeft,从右滚动到左
OSDFormat_Text,文本
OSDFormat_Date,日期
OSDFormat_Time,时间
OSDFormat_DateTime,日期时间
OSDFormat_Image,图片
OSDPosition_Left_Top,左上角
OSDPosition_Left_Bottom,左下角
OSDPosition_Right_Top,右上角
OSDPosition_Right_Bottom,右下角
WaveStyle_Line,线条样式
WaveStyle_Smooth,平滑样式
WaveStyle_Bar,柱状样式
PointStyle_Rect,正方形
PointStyle_Circle,圆形

#父类属性
geometry,区域

#自定义控件属性
minValue,最小值
maxValue,最大值
value,当前值
precision,精确度
step,步长
text,文字
unit,单位
title,标题
digitCount,数字长度
scalePrecision,刻度尺精确度
scaleMajor,大刻度数量
scaleMinor,小刻度数量
startAngle,起始旋转角度
endAngle,结束旋转角度
lineWidth,线条宽度
lineColor,线条颜色
borderRadius,边框圆角角度
space,间距
radius,圆角角度
barBgColor,柱状背景颜色
barColor,柱状颜色
animation,启用动画
animationStep,动画步长
outerCircleColor,外圆背景颜色
innerCircleColor,内圆背景颜色
pieColorStart,饼圆开始颜色
pieColorMid,饼圆中间颜色
pieColorEnd,饼圆结束颜色
coverCircleColor,覆盖圆颜色
